City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
nizhneangarsk,33,1601000654,61,55.78,109.55,283.8,1.91
misratah,0,1601000654,58,32.38,15.09,300.91,3.54
coquimbo,90,1601000654,82,-29.95,-71.34,286.15,1.5
sur,6,1601000655,55,22.57,59.53,299.93,0.74
hermanus,11,1601000655,81,-34.42,19.23,283.71,7.56
atuona,8,1601000655,76,-9.8,-139.03,298.72,7.19
usinsk,100,1601000655,90,65.99,57.53,278.92,5.99
kapaa,90,1601000655,74,22.08,-159.32,301.15,6.7
arraial do cabo,50,1601000655,90,-22.97,-42.03,294.65,7.46
hualmay,91,1601000656,83,-11.1,-77.61,289.13,4.18
ahipara,0,1601000656,52,-35.17,173.17,292.31,2.67
sitka,75,1601000639,93,57.05,-135.33,285.15,2.63
margate,31,1601000400,97,51.38,1.39,282.59,0.89
port-gentil,99,1601000656,84,-0.72,8.78,298.04,5.06
puerto ayora,74,1601000656,86,-0.74,-90.35,293.15,1.34
lewistown,1,1601000656,100,40.6,-77.57,289.15,1.61
hobart,75,1601000426,66,-42.88,147.33,285.93,4.1
provideniya,90,1601000657,65,64.38,-173.3,278.15,6
ushuaia,40,1601000657,60,-54.8,-68.3,278.15,5.7
leh,0,1601000657,42,34.17,77.58,282.5,1.01
sol-iletsk,94,1601000657,59,51.16,54.99,281.21,3.11
tiksi,6,1601000657,62,71.69,128.87,281.45,3.52
kieta,81,1601000658,68,-6.22,155.63,302.42,2.05
santa maria,95,1601000530,82,-29.68,-53.81,291.15,1.5
cayenne,77,1601000659,100,4.93,-52.33,297.15,3.24
te anau,16,1601000659,78,-45.42,167.72,284.82,1.92
barrow,90,1601000652,74,71.29,-156.79,272.15,7.7
saskylakh,0,1601000659,55,71.92,114.08,281.99,6.77
albany,87,1601000660,67,42.6,-73.97,289.82,1.43
san quintin,0,1601000660,65,30.48,-115.95,295.34,3.98
port macquarie,0,1601000660,31,-31.43,152.92,301.48,3.13
busselton,70,1601000539,41,-33.65,115.33,293.15,8.15
kidal,11,1601000660,15,18.44,1.41,304.21,4.48
rikitea,28,1601000660,82,-23.12,-134.97,295.93,4.8
punta arenas,56,1601000661,70,-53.15,-70.92,280.15,18.5
avarua,83,1601000661,69,-21.21,-159.78,300.15,3.1
bahia blanca,0,1601000661,55,-38.72,-62.27,288.99,3.71
souillac,40,1601000661,82,-20.52,57.52,291.15,1
chokurdakh,0,1601000648,62,70.63,147.92,281.2,5.37
clyde river,100,1601000661,91,70.47,-68.59,272.13,0.75
yellowknife,90,1601000661,100,62.46,-114.35,283.15,3.6
drahovo,86,1601000661,87,48.24,23.55,289.26,2.6
opuwo,0,1601000662,36,-18.06,13.84,289.12,1.75
dikson,100,1601000662,84,73.51,80.55,278.1,13.26
cape town,75,1601000562,71,-33.93,18.42,287.59,8.2
kununurra,48,1601000662,58,-15.77,128.73,304.15,1
san patricio,75,1601000662,69,19.22,-104.7,301.15,5.1
nobeoka,9,1601000662,74,32.58,131.67,300.37,1.34
georgetown,20,1601000429,78,5.41,100.34,302.15,3.1
ancud,0,1601000663,91,-41.87,-73.82,280.37,1.34
singaraja,37,1601000723,54,-8.11,115.09,303.85,0.69
leningradskiy,100,1601000723,98,69.38,178.42,272.49,6.09
mount darwin,0,1601000724,73,-16.77,31.58,286.32,0.91
bredasdorp,1,1601000724,93,-34.53,20.04,282.15,3.6
jamestown,1,1601000724,82,42.1,-79.24,292.04,2.6
cidreira,100,1601000724,80,-30.18,-50.21,290.82,3.06
guasdualito,100,1601000724,98,7.24,-70.73,295.8,1.05
port blair,100,1601000724,82,11.67,92.75,300.14,5.88
impfondo,100,1601000724,97,1.64,18.07,293.56,1.24
upernavik,2,1601000725,80,72.79,-56.15,267.15,5.72
tavatuy,0,1601000725,100,57.07,60.13,270.15,1.52
saint george,1,1601000558,14,37.1,-113.58,306.15,3.6
sept-iles,5,1601000462,70,50.2,-66.38,280.93,3.6
bethel,1,1601000725,93,41.37,-73.41,290.37,1.52
ilulissat,66,1601000725,45,69.22,-51.1,270.15,2.1
puerto baquerizo moreno,100,1601000725,85,-0.9,-89.6,291.56,4.13
celestun,52,1601000726,78,20.87,-90.4,301.6,5.54
carnarvon,75,1601000726,64,-24.87,113.63,296.15,4.1
east london,28,1601000726,29,-33.02,27.91,299.99,4.79
mar del plata,90,1601000536,100,-38,-57.56,282.04,1.5
